Nominative,Possessive,Dative,Ablative,Nominative Plural,gloss
oda,odasɨ,odaya,odadan,odalar,room
dere,deresi,dereye,dereden,dereler,river
ütü,ütüsü,ütüye,ütüden,ütüler,iron
balo,balos,baloya,balodan,balolar,ball
arɨ,arɨsɨ ,arɨya,arɨdan,arɨlar,bee
la:,la:sɨ,la:ya,la:dan,la:lar,la (note)
bina:,bina:sɨ,bina:ya,bina:dan,bina:lar,building
imla:,imla:sɨ,imla:ya,imla:dan,imla:lar,spelling
be:,be:si,be:ye,be:den,be:ler,B (letter)
kep,kepi,kepe,kepten,kepler,cap
at,atɨ,ata,attan,atlar,horse
ek,eki,eke,ekten,ekler,affix
ok,ok,oka,oktan,oklar,arrow
güč,güǰü,güǰe,güčten,güčler,power
ahmet,ahmedi,ahmede,ahmetten,ahmetler,Ahmed
kurt,kurd,kurda,kurttan,kurtlar,worm
türk,türkü,türke,türkten,türkler,Turk
genč,genči,genče,genčten,genčler,young
halk,halkɨ,halka,halktan,halklar,folk
üst,üstü,üste,üstten,üstler,upper plane
sarp,sarpɨ,sarpa,sarptan,sarplar,steep
harp,harbɨ,harba,harptan,harplar,war
alt,altɨ,alta,alttan,altlar,bottom
renk,rengi,renge,renkten,renkler,color
his,hissi,hisse,histen,hisler,feeling
hür,hürrü,hürre,hürden,hürler,free
mahal,mahallɨ,mahalla,mahaldan,mahallar,place
hak,hakkɨ,hakka,haktan,haklar,right
zam,zammɨ,zamma,zamdan,zamlar,inflation
af,affɨ,affa,aftan,aflar,excuse
arap,arabɨ,araba,araptan,araplar,Arab
koyun,koyun,koyuna,koyundan,koyunlar,sheep
pilot,pilot,pilota,pilottan,pilotlar,pilot
kitap,kitabɨ,kitaba,kitaptan,kitaplar,book
domuz,domuz,domuza,domuzdan,domuzlar,pig
davul,davul,davula,davuldan,davullar,drum
bayɨr,bayɨrɨ,bayɨra,bayɨrdan,bayɨrlar,slope
somun,somun,somuna,somundan,somunlar,loaf
fikir,fikri,fikre,fikirden,fikirler,idea
isim,ismi,isme,isimden,isimler,name
boyun,boyn,boyna,boyundan,boyunlar,neck
čevir,čevri,čevre,čevirden,čevirler,injustice
devir,devri,devre,devirden,devirler,transfer
koyun,koyn,koyna,koyundan,koyunlar,bosom
karɨn,karnɨ,karna,karɨndan,karɨnlar,thorax
burun,burn,burna,burundan,burunlar,nose
akɨl,aklɨ,akla,akɨldan,akɨllar,intelligence
šehir,šehri,šehre,šehirden,šehirler,city
namaz,namazɨ,namaza,namazdan,namazlar,worship
zaman,zama:nɨ,zama:na,zamandan,zamanlar,time
harap,hara:bɨ,hara:ba,haraptan,haraplar,ruined
i:kaz,i:ka:zɨ,i:ka:za,i:kazdan,i:kazlar,warning
hayat,haya:tɨ,haya:ta,hayattan,hayatlar,life
ispat,ispa:tɨ,ispa:ta,ispattan,ispatlar,proof
inek,inei,inee,inekten,inekler,cow
mantɨk,mantɨɨ,mantɨa,mantɨktan,mantɨklar,logic
ayak,ayaɨ,ayaa,ayaktan,ayaklar,foot
čabuk,čabu,čabua,čabuktan,čabuklar,quick
dakik,dakii,dakie,dakikten,dakikler,punctual
merak,mera:kɨ,mera:ka,meraktan,meraklar,curiosity
,tebrik,tebri:ki,tebri:ke,tebrikten,tebrikler,greetings
,hukuk,huku:k,huku:ka,hukuktan,hukuklar,law
